1.1660000000000008 0 0.034 1 1.1140000000000008 2 0.018000000000000002 0 1 22523228; 2 
2.232000000000001 0 1.0520000000000007 1 1.1500000000000008 2 0.030000000000000013 0 18162730; 1 22523228; 2 
4.98399999999997 0 0.5620000000000004 1 3.367999999999986 2 1.0540000000000007 0 1 22523228 17173775; 2 17850012; 
4.889999999999978 0 1.292000000000001 1 3.5699999999999714 2 0.02800000000000001 0 14813714; 1 17173775 22523228 37975185; 2 
8.005999999999961 0 3.9299999999999753 1 4.00799999999997 2 0.06800000000000005 0 14813714 22461427; 1 17173775 37975185 12389772; 2 
9.091999999999977 0 4.045999999999979 1 4.985999999999971 2 0.06000000000000004 0 14813714 22461427; 1 12389772 17173775 37975185 14167991; 2 
10.253999999999984 0 4.093999999999975 1 6.0599999999999445 2 0.10000000000000007 0 14813714 22461427; 1 12389772 17173775 37975185 14167991 21494085; 2 
14.129999999999947 0 4.637999999999976 1 8.37199999999997 2 1.1200000000000008 0 14813714 22461427; 1 12389772 17173775 37975185 2384071 21494085; 2 17850012; 
15.641999999999966 0 4.895999999999972 1 8.593999999999966 2 2.1520000000000006 0 14813714 22461427; 1 17173775 37975185 2384071 21494085 16412744; 2 30702406 17850012; 
16.077999999999964 0 5.561999999999967 1 9.367999999999977 2 1.1480000000000008 0 14813714 22461427 18162730; 1 2384071 37975185 14167991 21494085 16412744 22242176; 2 17850012; 
15.799999999999974 0 4.385999999999976 1 9.293999999999974 2 2.120000000000001 0 14813714 22461427; 1 17173775 37975185 14167991 21494085 16412744 22242176 32949746; 2 30702406 17850012; 
17.33 0 5.695999999999968 1 9.491999999999965 2 2.142000000000001 0 14813714 22461427 7376382; 1 17173775 37975185 14167991 16412744 21494085 32949746 15307206; 2 30702406 17850012; 
20.58600000000001 0 6.265999999999964 1 13.141999999999936 2 1.1780000000000008 0 14813714 22461427 7376382; 1 2384071 17173775 37975185 14167991 16412744 21494085 32949746 15307206 22951944; 2 17850012; 
21.979999999999965 0 6.373999999999962 1 13.403999999999943 2 2.2020000000000004 0 14813714 22461427 7376382; 1 17173775 37975185 2384071 16412744 21494085 32949746 15307206 22951944 23885448; 2 30702406 17850012; 
22.889999999999947 0 6.277999999999962 1 14.451999999999964 2 2.1600000000000006 0 14813714 22461427 7376382; 1 17173775 37975185 2384071 16412744 21494085 32949746 15307206 22951944 23885448 16813674; 2 30702406 17850012; 
24.963999999999945 0 6.4519999999999715 1 16.301999999999985 2 2.209999999999999 0 14813714 22461427 7376382; 1 17173775 37975185 2384071 16412744 21494085 32949746 15307206 16813674 23885448 22951944 16004411; 2 30702406 17850012; 
23.855999999999952 0 6.017999999999965 1 15.68999999999998 2 2.1480000000000006 0 14813714 22461427 7376382; 1 17173775 37975185 14167991 16412744 21494085 32949746 15307206 16813674 23885448 22951944 16004411 16494857; 2 30702406 17850012; 
