1.1240000000000008 0 0.038 1 1.0800000000000007 2 0.006 0 1 22523228; 2 
2.2419999999999995 0 0.06800000000000002 1 2.1440000000000006 2 0.030000000000000013 0 1 22523228 12389772; 2 
3.3379999999999646 0 0.07400000000000002 1 3.231999999999966 2 0.032000000000000015 0 1 22523228 12389772 14167991; 2 
4.923999999999977 0 0.3000000000000002 1 4.585999999999983 2 0.03800000000000002 0 1 22523228 12389772 14167991 17173775; 2 
6.021999999999942 0 1.318000000000001 1 4.6539999999999795 2 0.05000000000000003 0 14813714; 1 14167991 22523228 17173775 12389772; 2 
7.071999999999967 0 1.366000000000001 1 5.63599999999994 2 0.07000000000000003 0 14813714; 1 14167991 22523228 17173775 12389772 21494085; 2 
10.939999999999964 0 2.0380000000000007 1 7.8039999999999745 2 1.0980000000000008 0 14813714; 1 2384071 22523228 17173775 12389772 21494085; 2 17850012; 
14.47199999999997 0 4.801999999999974 1 8.523999999999969 2 1.1460000000000008 0 22461427 14813714; 1 2384071 17173775 12389772 21494085 37975185; 2 17850012; 
15.383999999999972 0 4.777999999999975 1 9.439999999999975 2 1.1660000000000008 0 14813714 22461427; 1 12389772 21494085 2384071 37975185 17173775 16412744; 2 17850012; 
16.317999999999973 0 5.635999999999975 1 9.471999999999964 2 1.2100000000000009 0 14813714 29986886 22461427; 1 12389772 21494085 2384071 37975185 16412744 22242176; 2 17850012; 
17.117999999999977 0 5.609999999999973 1 10.339999999999984 2 1.1680000000000008 0 14813714 29986886 22461427; 1 12389772 2384071 21494085 16412744 37975185 22242176 15307206; 2 17850012; 
18.105999999999998 0 5.579999999999972 1 11.371999999999955 2 1.1540000000000008 0 14813714 29986886 22461427; 1 12389772 2384071 21494085 16412744 37975185 22242176 15307206 18988350; 2 17850012; 
19.778000000000002 0 5.8139999999999645 1 12.783999999999951 2 1.1800000000000008 0 14813714 29986886 22461427; 1 12389772 2384071 21494085 16412744 37975185 22523228 15076390 15307206 18988350; 2 17850012; 
20.217999999999982 0 5.567999999999968 1 13.47199999999995 2 1.1780000000000008 0 14813714 29986886 22461427; 1 12389772 2384071 21494085 16412744 37975185 22523228 22242176 15307206 18988350 15728729; 2 17850012; 
21.197999999999958 0 5.603999999999966 1 14.40199999999997 2 1.1920000000000008 0 14813714 29986886 22461427; 1 12389772 2384071 21494085 16412744 37975185 22523228 24922522 15307206 18988350 15728729 8043172; 2 17850012; 
22.415999999999958 0 5.629999999999961 1 15.59399999999998 2 1.1920000000000008 0 14813714 29986886 22461427; 1 12389772 14167991 21494085 16412744 37975185 22523228 22242176 15307206 18988350 15728729 8043172 2384071; 2 17850012; 
23.309999999999974 0 5.56599999999997 1 16.609999999999985 2 1.1340000000000008 0 14813714 29986886 22461427; 1 12389772 14167991 21494085 19360333 37975185 22523228 22242176 15307206 18988350 15728729 8043172 2384071 14785887; 2 17850012; 
24.757999999999978 0 5.595999999999966 1 17.98999999999998 2 1.1720000000000008 0 14813714 29986886 22461427; 1 12389772 14167991 21494085 19360333 37975185 22523228 22242176 15307206 18988350 15728729 8043172 2384071 14785887 23885448; 2 17850012; 
26.2499999999999 0 6.971999999999963 1 18.109999999999996 2 1.1680000000000008 0 14813714 7376382 22461427 29986886; 1 15307206 8043172 19360333 37975185 2384071 23885448 14785887 12389772 22523228 15728729 18988350 21494085 14167991 32949746; 2 17850012; 
27.409999999999933 0 7.089999999999969 1 18.157999999999987 2 2.1620000000000013 0 14813714 7376382 22461427 29986886; 1 15307206 8043172 19360333 37975185 2384071 23885448 14785887 12389772 22523228 15728729 18988350 21494085 14167991 32949746; 2 17850012 24863940; 
28.139999999999944 0 6.915999999999964 1 19.051999999999996 2 2.1719999999999993 0 14813714 7376382 22461427 29986886; 1 15307206 8043172 19360333 37975185 2384071 23885448 14785887 12389772 22523228 15728729 18988350 21494085 14167991 32949746 15862005; 2 17850012 24863940; 
29.487999999999968 0 8.083999999999966 1 19.214000000000002 2 2.1900000000000004 0 14813714 7376382 22461427 29986886 39299693; 1 15307206 8043172 19360333 37975185 2384071 23885448 14785887 12389772 22523228 15728729 18988350 21494085 14167991 32949746 15862005; 2 17850012 24863940; 
30.831999999999976 0 6.891999999999961 1 21.761999999999976 2 2.1780000000000004 0 14813714 22461427 29986886 39299693; 1 15307206 8043172 19360333 37975185 2384071 23885448 14785887 22463905 12389772 16004411 15728729 18988350 21494085 14167991 32949746 15862005 14451294; 2 17850012 24863940; 
31.328000000000007 0 6.791999999999964 1 22.36799999999999 2 2.1679999999999993 0 14813714 22461427 29986886 39299693; 1 17451621 8043172 16236786 37975185 2384071 23885448 14785887 22463905 12389772 22523228 15728729 18988350 21494085 14167991 32949746 14451294 15862005 37135242; 2 17850012 24863940; 
33.082 0 6.865999999999966 1 25.01799999999995 2 1.1980000000000008 0 14813714 22461427 16045504 39299693; 1 15307206 8043172 16236786 876061 2384071 23885448 14785887 22463905 12389772 22523228 16004411 18988350 21494085 14167991 32949746 14451294 30285499 15862005 37135242 16936384; 2 17850012; 
34.298000000000016 0 5.9299999999999695 1 26.199999999999918 2 2.168000000000001 0 14813714 22461427 39299693; 1 15307206 8043172 16236786 37975185 2384071 23885448 14785887 22242176 12389772 22523228 42128261 16004411 18988350 21494085 14167991 32949746 14451294 30285499 15862005 37135242 16936384; 2 17850012 9146202; 
34.446000000000026 0 5.647999999999966 1 24.651999999999923 2 4.145999999999995 0 14813714 22461427 39299693; 1 15307206 8043172 16236786 23885448 14785887 22242176 12389772 22523228 17486893 16004411 18988350 21494085 14167991 32949746 14451294 30285499 15862005 37135242 16431844 22951944; 2 17850012 13253992 30702406 9146202; 
