1.1340000000000008 0 0.036000000000000004 1 1.0800000000000007 2 0.018000000000000002 0 1 22523228; 2 
2.202000000000001 0 0.02600000000000001 1 2.1520000000000006 2 0.024000000000000007 0 1 22523228 14167991; 2 
3.339999999999964 0 1.0860000000000007 1 2.216000000000001 2 0.038000000000000006 0 18162730; 1 22523228 14167991; 2 
5.005999999999977 0 0.3000000000000002 1 4.655999999999982 2 0.05000000000000003 0 1 22523228 17173775 14167991 12389772; 2 
8.24199999999997 0 3.0279999999999814 1 5.153999999999967 2 0.06000000000000004 0 22461427; 1 17173775 14167991 12389772 30864390; 2 
11.189999999999968 0 3.5219999999999825 1 7.569999999999971 2 0.09800000000000007 0 22461427; 1 17173775 2384071 12389772 30864390 37975185; 2 
12.199999999999964 0 4.467999999999971 1 7.605999999999966 2 0.12600000000000008 0 22461427 14813714; 1 17173775 37975185 12389772 2384071 30864390; 2 
13.051999999999946 0 4.357999999999973 1 8.567999999999968 2 0.12600000000000008 0 22461427 14813714; 1 17173775 37975185 12389772 2384071 30864390 32949746; 2 
15.981999999999978 0 5.767999999999966 1 9.057999999999966 2 1.1560000000000008 0 1253451 22461427 14813714; 1 17173775 37975185 2384071 30864390 32949746; 2 17850012; 
16.38399999999997 0 5.523999999999968 1 9.743999999999966 2 1.1160000000000008 0 1253451 22461427 14813714; 1 27486099 37975185 2384071 30864390 32949746 22242176; 2 17850012; 
17.35799999999998 0 5.551999999999963 1 10.679999999999973 2 1.1260000000000008 0 1253451 22461427 14813714; 1 27120518 37975185 2384071 30864390 22242176 32949746 15307206; 2 17850012; 
18.459999999999976 0 5.435999999999969 1 11.913999999999954 2 1.1100000000000008 0 1253451 22461427 14813714; 1 27120518 37975185 2384071 30864390 22242176 32949746 15307206 8043172; 2 17850012; 
19.50399999999998 0 5.727999999999969 1 12.633999999999952 2 1.1420000000000008 0 1253451 22461427 14813714; 1 27120518 37975185 2384071 30864390 22242176 32949746 15307206 8043172 19360333; 2 17850012; 
20.56599999999999 0 5.655999999999971 1 13.79199999999995 2 1.1180000000000008 0 1253451 22461427 14813714; 1 27120518 37975185 14167991 30864390 22242176 32949746 15307206 8043172 19360333 2384071; 2 17850012; 
22.035999999999976 0 5.751999999999967 1 15.113999999999962 2 1.1700000000000008 0 1253451 22461427 14813714; 1 27120518 37975185 14167991 30864390 22242176 32949746 15307206 8043172 19360333 2384071 16102437; 2 17850012; 
22.71399999999997 0 5.46199999999997 1 16.023999999999983 2 1.2280000000000009 0 14813714 1253451 22461427; 1 22463905 16102437 14167991 16447060 15307206 37975185 30864390 32949746 22242176 2384071 19360333 8043172; 2 24863940; 
23.889999999999947 0 5.5519999999999685 1 16.151999999999976 2 2.186 0 14813714 1253451 22461427; 1 16102437 14167991 16447060 15307206 37975185 30864390 32949746 22242176 2384071 19360333 16236786 18988350; 2 9146202 24863940; 
24.96399999999992 0 6.689999999999964 1 16.007999999999985 2 2.2659999999999987 0 14813714 1253451 22461427 15256188; 1 16102437 14167991 20214703 15307206 37975185 30864390 32949746 22242176 2384071 19360333 16236786 18988350; 2 9146202 24863940; 
26.52999999999993 0 5.675999999999968 1 18.605999999999987 2 2.247999999999999 0 14813714 1253451 22461427; 1 16102437 14167991 16447060 15307206 37975185 30864390 32949746 22242176 2384071 19360333 16236786 18988350 22951944 14785887; 2 9146202 24863940; 
27.989999999999934 0 5.8379999999999646 1 19.983999999999977 2 2.1680000000000006 0 14813714 1253451 22461427; 1 27120518 16102437 14167991 15307206 37975185 30864390 32949746 22242176 2384071 19360333 16236786 18988350 22951944 14785887 23885448; 2 17850012 24863940; 
29.519999999999968 0 5.9919999999999645 1 21.33000000000001 2 2.1980000000000004 0 14813714 1253451 22461427; 1 27120518 16102437 14167991 15307206 37975185 30864390 32949746 15076390 2384071 19360333 16236786 18988350 22951944 23885448 14785887 21494085; 2 17850012 24863940; 
31.61199999999997 0 7.19399999999996 1 23.241999999999948 2 1.1760000000000008 0 14813714 1253451 82243 22461427; 1 27120518 16102437 14167991 15307206 37975185 30864390 32949746 15076390 2384071 8043172 16447060 18988350 22951944 23885448 14785887 21494085 16431844; 2 17850012; 
32.33399999999998 0 8.007999999999976 1 23.105999999999987 2 1.2200000000000009 0 14813714 18162730 1253451 82243 22461427; 1 16102437 14167991 15307206 37975185 30864390 32949746 22242176 2384071 16236786 16447060 22951944 14785887 16431844 21494085 23885448 18988350 21093392; 2 17850012; 
