1.1700000000000008 0 0.06 1 1.1020000000000008 2 0.008 0 1 22523228; 2 
2.174000000000001 0 1.0360000000000007 1 1.1080000000000008 2 0.030000000000000013 0 18162730; 1 22523228; 2 
3.4299999999999637 0 1.1400000000000008 1 2.2600000000000007 2 0.030000000000000013 0 18162730; 1 22523228 14167991; 2 
4.413999999999994 0 1.1020000000000008 1 3.279999999999965 2 0.032000000000000015 0 18162730; 1 22523228 14167991 37975185; 2 
7.891999999999967 0 2.887999999999985 1 4.933999999999977 2 0.07000000000000005 0 22461427; 1 22523228 14167991 37975185 22242176; 2 
11.741999999999965 0 3.4579999999999806 1 7.13999999999996 2 1.1440000000000008 0 22461427; 1 22523228 2384071 37975185 22242176; 2 17850012; 
12.885999999999958 0 3.487999999999979 1 8.259999999999966 2 1.1380000000000008 0 22461427; 1 22523228 2384071 37975185 22242176 15862005; 2 17850012; 
14.035999999999962 0 3.557999999999979 1 9.347999999999974 2 1.1300000000000008 0 22461427; 1 22523228 14167991 15862005 37975185 22242176 2384071; 2 17850012; 
15.03599999999997 0 3.601999999999977 1 10.307999999999971 2 1.1260000000000008 0 22461427; 1 22523228 14167991 15862005 37975185 22242176 2384071 19360333; 2 17850012; 
15.713999999999968 0 3.5179999999999763 1 10.107999999999974 2 2.088000000000001 0 22461427; 1 37975185 15862005 2384071 14167991 19360333 22242176 22523228; 2 17850012 24863940; 
16.973999999999997 0 3.563999999999978 1 11.279999999999951 2 2.1300000000000012 0 22461427; 1 37975185 15862005 2384071 14167991 19360333 22242176 22523228 21494085; 2 17850012 24863940; 
17.837999999999976 0 4.585999999999973 1 11.14999999999996 2 2.102000000000001 0 22461427 14813714; 1 37975185 15862005 2384071 14167991 19360333 22242176 22523228 21494085; 2 17850012 24863940; 
19.290000000000003 0 4.569999999999969 1 12.607999999999965 2 2.112000000000001 0 22461427 14813714; 1 37975185 15862005 2384071 14167991 19360333 22242176 22523228 21494085 16236786; 2 17850012 24863940; 
20.193999999999992 0 4.549999999999972 1 13.537999999999956 2 2.1060000000000008 0 22461427 14103852; 1 37975185 15862005 2384071 14167991 19360333 22242176 22523228 16236786 21494085 30864390; 2 17850012 24863940; 
21.251999999999967 0 4.545999999999971 1 14.59799999999996 2 2.1080000000000014 0 22461427 14103852; 1 37975185 15862005 2384071 14167991 19360333 22242176 22523228 16236786 21494085 30864390 37135242; 2 17850012 24863940; 
22.48999999999998 0 4.599999999999971 1 15.759999999999962 2 2.1300000000000012 0 22461427 14103852; 1 37975185 15862005 2384071 14167991 19360333 22242176 22523228 16236786 21494085 30864390 37135242 32949746; 2 17850012 24863940; 
23.26199999999996 0 4.535999999999976 1 16.625999999999962 2 2.1000000000000014 0 22461427 14103852; 1 37975185 15862005 2384071 14167991 19360333 22242176 22523228 16236786 21494085 30864390 37135242 32949746 18988350; 2 17850012 24863940; 
24.069999999999926 0 4.495999999999975 1 17.444 2 2.130000000000001 0 22461427 14813714; 1 37975185 15862005 2384071 14167991 19360333 22242176 22523228 8043172 21494085 30864390 37135242 32949746 18988350 797018; 2 17850012 24863940; 
25.651999999999934 0 4.615999999999976 1 18.89999999999998 2 2.136 0 22461427 14813714; 1 37975185 15862005 2384071 14167991 19360333 22242176 22523228 8043172 21494085 30864390 37135242 32949746 18988350 797018 23885448; 2 17850012 24863940; 
26.74999999999994 0 4.711999999999974 1 19.919999999999984 2 2.1180000000000017 0 22461427 14813714; 1 37975185 15862005 2384071 14167991 19360333 22242176 22523228 8043172 21494085 30864390 37135242 32949746 18988350 797018 23885448 15307206; 2 17850012 24863940; 
27.915999999999944 0 4.657999999999974 1 20.126 2 3.131999999999967 0 22461427 14813714; 1 37975185 15862005 2384071 14167991 19360333 16667356 16236786 21494085 30864390 37135242 32949746 18988350 797018 23885448 15307206 14785887; 2 17850012 9146202 24863940; 
29.28799999999998 0 5.773999999999973 1 20.315999999999967 2 3.1979999999999684 0 16306595 22461427 14813714; 1 37975185 2384071 14167991 19360333 16667356 16236786 21494085 30864390 37135242 32949746 18988350 797018 23885448 15307206 14785887 14909369; 2 17850012 9146202 24863940; 
30.985999999999994 0 5.939999999999963 1 22.849999999999977 2 2.1960000000000006 0 16306595 22461427 14813714; 1 37975185 2384071 14167991 9462472 15076390 17486893 797018 16667356 14909369 32949746 16236786 30864390 18988350 15307206 14785887 37135242 21494085 16813674; 2 17850012 24863940; 
31.25 0 5.807999999999975 1 22.265999999999984 2 3.175999999999967 0 16306595 22461427 14813714; 1 37975185 2384071 14167991 9462472 17486893 797018 16667356 14909369 32949746 16236786 30864390 18988350 15307206 14785887 37135242 21494085 16813674 15728729; 2 17850012 9146202 24863940; 
32.164000000000016 0 5.641999999999968 1 22.381999999999984 2 4.139999999999996 0 16306595 22461427 14813714; 1 37975185 2384071 14167991 9462472 17486893 797018 16667356 14909369 32949746 16236786 30864390 18988350 15307206 14785887 37135242 21494085 16813674 15728729; 2 17850012 9146202 24863940 30197513; 
33.87600000000002 0 4.881999999999972 1 24.83999999999993 2 4.153999999999993 0 22461427 14813714; 1 17862286 15862005 2384071 14167991 9462472 17486893 797018 16667356 14909369 32949746 16236786 30864390 18988350 15307206 14785887 37135242 21494085 16813674 15728729 16102437; 2 17850012 9146202 24863940 30197513; 
35.130000000000045 0 6.9059999999999615 1 23.999999999999954 2 4.223999999999991 0 19624059 22461427 14462500 14813714; 1 15862005 2384071 14167991 9462472 22242176 797018 16667356 14909369 32949746 16236786 30864390 18988350 15307206 14785887 37135242 21494085 16813674 16102437 15728729; 2 17850012 24863940 30197513 9146202; 
36.05400000000005 0 4.865999999999973 1 28.01599999999994 2 3.171999999999968 0 22461427 16090188; 1 17862286 15862005 2384071 14167991 9462472 22242176 20716296 26771859 797018 16667356 14909369 32949746 16236786 30864390 18988350 15307206 14785887 37135242 21494085 16813674 16102437 15728729 16431844; 2 17850012 30197513 9146202; 
36.58200000000005 0 4.761999999999974 1 29.495999999999942 2 2.323999999999998 0 22461427 16090188; 1 17862286 19022050 15862005 2384071 14167991 9462472 22242176 20716296 26771859 797018 16667356 14909369 32949746 16236786 30864390 18988350 15307206 14785887 37135242 21494085 16813674 16102437 15728729 16431844 22951944; 2 30197513 9146202; 
38.31800000000001 0 4.913999999999972 1 29.03999999999994 2 4.363999999999989 0 22461427 16090188; 1 37975185 15862005 2384071 14167991 9462472 22242176 20716296 26771859 797018 16667356 14909369 32949746 32522601 30864390 18988350 15307206 14785887 37135242 21494085 16102437 15728729 16431844 22951944 15184942; 2 17850012 19686924 30197513 9146202; 
37.76400000000002 0 5.609999999999966 1 26.843999999999923 2 5.30999999999994 0 22461427 21733345 16090188; 1 37975185 15862005 14167991 16667356 22242176 20716296 26771859 797018 14909369 32949746 32522601 30864390 18988350 15307206 14785887 37135242 21494085 16102437 15728729 16431844 15184942 22951944 14451294; 2 17850012 30702406 19686924 30197513 9146202; 
