1.1060000000000008 0 0.012 1 1.0840000000000007 2 0.01 0 1 22523228; 2 
2.2580000000000013 0 0.05800000000000002 1 2.1680000000000015 2 0.032000000000000015 0 1 22523228 12389772; 2 
3.373999999999961 0 0.054 1 3.271999999999963 2 0.04800000000000003 0 1 22523228 12389772 14167991; 2 
4.315999999999995 0 0.054000000000000006 1 4.225999999999997 2 0.03600000000000002 0 1 22523228 12389772 14167991 14365965; 2 
6.447999999999947 0 0.32200000000000023 1 5.067999999999973 2 1.0580000000000007 0 1 22523228 12389772 14167991 14365965; 2 17850012; 
7.545999999999967 0 0.36800000000000027 1 6.139999999999953 2 1.0380000000000007 0 1 22523228 12389772 14167991 14365965 37975185; 2 17850012; 
10.637999999999957 0 3.0559999999999827 1 6.525999999999955 2 1.0560000000000007 0 22461427; 1 22523228 12389772 14167991 37975185 18988350; 2 17850012; 
11.811999999999955 0 4.053999999999976 1 6.6679999999999575 2 1.0900000000000007 0 18888190 22461427; 1 22523228 12389772 37975185 18988350 14167991; 2 17850012; 
13.417999999999948 0 4.301999999999976 1 8.001999999999974 2 1.1140000000000008 0 18888190 22461427; 1 22523228 12389772 37975185 18988350 14167991 16102437; 2 17850012; 
15.043999999999958 0 4.227999999999975 1 9.733999999999977 2 1.0820000000000007 0 18888190 22461427; 1 22523228 12389772 37975185 18988350 14167991 16102437 16004411; 2 17850012; 
16.113999999999965 0 4.387999999999978 1 10.641999999999967 2 1.0840000000000007 0 18888190 22461427; 1 22523228 12389772 18988350 14167991 16102437 37975185 16004411 32949746; 2 17850012; 
18.85599999999999 0 3.605999999999976 1 14.105999999999959 2 1.1440000000000008 0 22461427; 1 22523228 12389772 18988350 2384071 14742505 16102437 37975185 16004411 32949746 8043172; 2 17850012; 
20.22399999999997 0 4.685999999999976 1 14.39799999999996 2 1.1400000000000008 0 18888190 22461427; 1 22523228 12389772 18988350 2384071 16102437 37975185 16004411 32949746 8043172 22242176; 2 17850012; 
21.20599999999997 0 4.651999999999973 1 15.409999999999975 2 1.1440000000000008 0 18888190 22461427; 1 22523228 12389772 18988350 2384071 16102437 37975185 16004411 32949746 8043172 22242176 9462472; 2 17850012; 
22.249999999999968 0 5.649999999999962 1 15.49199999999998 2 1.1080000000000008 0 18888190 14813714 22461427; 1 22523228 12389772 18988350 2384071 16102437 37975185 16004411 32949746 8043172 22242176 9462472; 2 17850012; 
23.065999999999967 0 5.67999999999997 1 16.24199999999998 2 1.1440000000000008 0 18888190 14813714 22461427; 1 22523228 12389772 18988350 2384071 15862005 37975185 16004411 32949746 8043172 22242176 9462472 14909369; 2 17850012; 
24.149999999999945 0 4.685999999999973 1 18.319999999999983 2 1.1440000000000008 0 14813714 22461427; 1 22523228 6821602 18988350 2384071 14742505 15862005 37975185 16004411 32949746 14909369 9462472 8043172 22242176 21494085; 2 17850012; 
25.023999999999937 0 4.579999999999972 1 19.299999999999965 2 1.1440000000000008 0 14813714 22461427; 1 22523228 6821602 18988350 2384071 14742505 15862005 37975185 16004411 32949746 14909369 9462472 8043172 22242176 21494085 15307206; 2 17850012; 
25.24199999999994 0 5.57799999999997 1 17.51999999999999 2 2.1440000000000006 0 18888190 22461427 14813714; 1 22523228 22242176 14167991 15862005 12389772 21494085 18988350 14909369 8043172 41773112 15307206 37975185 32949746 2384071; 2 24863940 17850012; 
27.161999999999946 0 5.735999999999966 1 20.237999999999985 2 1.1880000000000008 0 18888190 22461427 14813714; 1 22523228 22242176 14167991 16004411 15862005 12389772 21494085 18988350 14909369 8043172 9462472 15307206 37975185 32949746 2384071 14785887; 2 17850012; 
28.313999999999933 0 5.687999999999967 1 21.443999999999992 2 1.1820000000000008 0 18888190 22461427 14813714; 1 16004411 22242176 14167991 17548348 15862005 12389772 21494085 18988350 14909369 8043172 9462472 15307206 37975185 32949746 2384071 14785887 17305642; 2 17850012; 
29.651999999999934 0 5.849999999999961 1 22.595999999999954 2 1.2060000000000008 0 18888190 22461427 14813714; 1 22523228 22242176 14167991 16004411 15862005 12389772 21494085 18988350 14909369 8043172 9462472 15307206 37975185 32949746 2384071 14785887 17305642 23344327; 2 17850012; 
