1.0600000000000007 0 0.01 1 1.0340000000000007 2 0.016 0 1 12389772; 2 
2.1380000000000012 0 1.0200000000000007 1 1.0920000000000007 2 0.02600000000000001 0 18162730; 1 12389772; 2 
3.3159999999999625 0 1.0920000000000007 1 2.190000000000001 2 0.03400000000000001 0 18162730; 1 12389772 22523228; 2 
4.363999999999995 0 1.0800000000000007 1 3.2479999999999656 2 0.03600000000000002 0 18162730; 1 12389772 22523228 37975185; 2 
6.5739999999999466 0 0.3700000000000003 1 5.1539999999999715 2 1.0500000000000007 0 1 12389772 22523228 14365965 37975185; 2 17850012; 
9.645999999999978 0 4.019999999999975 1 4.56999999999997 2 1.0560000000000007 0 22461427 28597688; 1 12389772 37975185 22242176; 2 17850012; 
10.863999999999965 0 4.103999999999975 1 5.701999999999959 2 1.0580000000000007 0 22461427 28597688; 1 12389772 37975185 22242176 14167991; 2 17850012; 
11.943999999999953 0 4.133999999999974 1 6.753999999999966 2 1.0560000000000007 0 22461427 28597688; 1 12389772 22242176 14167991 37975185 15728729; 2 17850012; 
13.66399999999995 0 4.247999999999973 1 8.33799999999998 2 1.0780000000000007 0 22461427 28597688; 1 12389772 22242176 14167991 37975185 16004411 8043172; 2 17850012; 
14.561999999999962 0 4.063999999999976 1 9.417999999999974 2 1.0800000000000007 0 22461427 28597688; 1 12389772 22242176 14167991 37975185 16004411 8043172 15307206; 2 17850012; 
18.008 0 4.733999999999973 1 12.143999999999956 2 1.1300000000000008 0 22461427 28597688; 1 2384071 22242176 14167991 37975185 16004411 14451294 15307206 16931885; 2 17850012; 
17.98799999999999 0 5.505999999999969 1 11.36199999999995 2 1.1200000000000008 0 22461427 28597688 14813714; 1 2384071 22242176 14167991 37975185 21437676 14451294 15307206 16931885; 2 17850012; 
19.52200000000001 0 5.627999999999969 1 11.785999999999953 2 2.1080000000000014 0 22461427 28597688 14813714; 1 2384071 22242176 14167991 37975185 16004411 8043172 15307206 17305642; 2 17850012 24863940; 
20.951999999999984 0 6.92999999999996 1 12.83999999999996 2 1.1820000000000008 0 22461427 7376382 28597688 14813714; 1 2384071 14167991 37975185 21437676 15307206 17305642 16931885 14451294 16412744; 2 17850012; 
21.084 0 5.501999999999968 1 13.489999999999958 2 2.092000000000001 0 22461427 28597688 14813714; 1 2384071 22242176 14167991 37975185 21437676 15307206 17305642 8043172 19360333 16845153; 2 17850012 24863940; 
22.519999999999968 0 5.637999999999969 1 15.725999999999969 2 1.1560000000000008 0 22461427 28597688 14813714; 1 2384071 22242176 14167991 37975185 21437676 15307206 17305642 23885448 8043172 19360333 16845153 21494085; 2 17850012; 
24.317999999999973 0 6.995999999999965 1 16.137999999999987 2 1.1840000000000008 0 22461427 7376382 28597688 14813714; 1 2384071 14167991 37975185 21437676 15307206 17305642 23885448 8043172 16412744 16845153 21494085 15862005; 2 17850012; 
26.491999999999926 0 8.483999999999966 1 16.813999999999965 2 1.1940000000000008 0 22461427 7376382 29863027 1253451 14813714; 1 2384071 14167991 37975185 21437676 15307206 17305642 8043172 16412744 15862005 21494085 16845153 23885448; 2 17850012; 
26.999999999999943 0 8.165999999999968 1 17.61399999999998 2 1.2200000000000009 0 22461427 7376382 28597688 1253451 14813714; 1 2384071 14167991 37975185 21437676 15307206 17305642 8043172 16412744 15862005 21494085 16845153 23885448 18988350; 2 17850012; 
28.205999999999925 0 8.313999999999973 1 18.686 2 1.2060000000000008 0 22461427 7376382 28597688 1253451 14813714; 1 2384071 14167991 37975185 21437676 15307206 17305642 14451294 16412744 15862005 21494085 16845153 23885448 18988350 16652658; 2 17850012; 
28.257999999999935 0 8.025999999999964 1 18.050000000000008 2 2.182 0 22461427 7376382 28597688 14813714 21733345; 1 2384071 14167991 37975185 21437676 15307206 17305642 14451294 16412744 15862005 21494085 16845153 18988350 16652658 16936384; 2 17850012 24863940; 
29.965999999999966 0 8.249999999999968 1 19.514 2 2.2020000000000004 0 22461427 7376382 28597688 14813714 21733345; 1 2384071 14167991 37975185 21437676 15307206 17305642 14451294 16412744 21494085 15862005 18988350 16652658 16845153 16936384 16236786; 2 17850012 24863940; 
30.575999999999993 0 7.11599999999997 1 21.271999999999966 2 2.1879999999999997 0 22461427 7376382 28597688 14813714; 1 2384071 14167991 37975185 21437676 15307206 17305642 8043172 16412744 21494085 15862005 18988350 16652658 16845153 16936384 16931885 16236786 16494857; 2 17850012 24863940; 
31.54199999999999 0 6.14799999999997 1 23.205999999999978 2 2.188 0 7376382 14813714 22461427; 1 22523228 2384071 14365965 14167991 37975185 21437676 15307206 17305642 8043172 16412744 21494085 15862005 18988350 16652658 16845153 16936384 16931885 16236786 16494857; 2 17850012 24863940; 
32.60999999999998 0 6.093999999999965 1 24.351999999999943 2 2.1639999999999997 0 7376382 14813714 22461427; 1 22523228 2384071 14365965 14167991 37975185 21437676 15307206 17305642 8043172 41773112 21494085 15862005 18988350 16652658 16845153 16936384 23885448 16236786 16494857 37135242; 2 17850012 17291344; 
33.844000000000015 0 6.049999999999965 1 25.619999999999933 2 2.1740000000000004 0 7376382 14813714 22461427; 1 22523228 2384071 14365965 14167991 37975185 21437676 15307206 17305642 8043172 41773112 21494085 15862005 18988350 16652658 16845153 16936384 23885448 16236786 16494857 37135242 16102437; 2 17850012 17291344; 
35.204000000000036 0 6.171999999999969 1 26.793999999999947 2 2.2379999999999995 0 7376382 14813714 22461427; 1 22523228 2384071 14365965 14167991 37975185 21437676 15307206 17305642 8043172 41773112 21494085 15862005 18988350 16652658 16845153 16936384 23885448 16236786 16494857 37135242 16102437 14909369; 2 17850012 17291344; 
