1.1660000000000008 0 0.032 1 1.1140000000000008 2 0.020000000000000004 0 1 22523228; 2 
2.3599999999999985 0 0.054000000000000006 1 2.2939999999999987 2 0.012 0 1 22523228 22242176; 2 
3.5179999999999625 0 1.1400000000000008 1 2.334 2 0.044000000000000025 0 18162730; 1 22523228 22242176; 2 
6.675999999999955 0 2.7899999999999876 1 3.8299999999999708 2 0.056000000000000036 0 22461427; 1 22242176 22523228 12389772; 2 
8.751999999999969 0 3.0339999999999825 1 4.639999999999976 2 1.0780000000000007 0 22461427; 1 22242176 22523228 12389772; 2 17850012; 
9.851999999999975 0 4.151999999999974 1 4.627999999999975 2 1.0720000000000007 0 22461427 14813714; 1 12389772 22523228 22242176; 2 17850012; 
10.827999999999951 0 4.151999999999974 1 5.59999999999996 2 1.0760000000000007 0 22461427 14813714; 1 12389772 22523228 22242176 15862005; 2 17850012; 
11.779999999999971 0 4.031999999999976 1 6.677999999999954 2 1.0700000000000007 0 22461427 14813714; 1 12389772 22523228 22242176 15862005 8043172; 2 17850012; 
12.793999999999956 0 3.9859999999999762 1 7.719999999999975 2 1.0880000000000007 0 22461427 14813714; 1 12389772 22523228 22242176 15862005 8043172 16813674; 2 17850012; 
15.18399999999995 0 4.589999999999971 1 9.493999999999966 2 1.1000000000000008 0 22461427 14813714; 1 12389772 22523228 17173775 16102437 14451294 16813674 32949746; 2 17850012; 
15.859999999999978 0 4.499999999999976 1 10.269999999999964 2 1.0900000000000007 0 14813714 22461427; 1 32949746 22523228 17173775 14451294 16813674 15862005 12389772 18988350; 2 17850012; 
18.784 0 4.775999999999971 1 12.849999999999941 2 1.1580000000000008 0 14813714 22461427; 1 32949746 22523228 17173775 8043172 16813674 16102437 2384071 18988350 19360333; 2 17850012; 
19.689999999999973 0 4.835999999999971 1 13.699999999999951 2 1.1540000000000008 0 14813714 22461427; 1 32949746 22523228 17173775 8043172 16813674 16102437 2384071 18988350 19360333 37975185; 2 17850012; 
20.65599999999997 0 4.917999999999972 1 14.579999999999956 2 1.1580000000000008 0 14813714 22461427; 1 32949746 22523228 17173775 8043172 16813674 15862005 2384071 18988350 19360333 37975185 14451294; 2 17850012; 
22.265999999999963 0 5.033999999999976 1 16.059999999999985 2 1.1720000000000008 0 14813714 22461427; 1 32949746 22523228 17173775 8043172 16813674 16102437 12389772 18988350 19360333 37975185 14451294 2384071; 2 17850012; 
22.93999999999997 0 4.777999999999974 1 17.02999999999999 2 1.1320000000000008 0 14813714 22461427; 1 32949746 22523228 17173775 8043172 16813674 15862005 12389772 18988350 2384071 14451294 19360333 37975185 14785887; 2 17850012; 
21.975999999999978 0 5.373999999999973 1 15.503999999999984 2 1.0980000000000008 0 14813714 23219721 22461427; 1 32949746 17173775 8043172 16813674 15862005 34258868 18988350 14204673 14451294 19360333 37975185 14785887 15728729; 2 17850012; 
23.221999999999944 0 5.501999999999963 1 16.617999999999977 2 1.1020000000000008 0 14813714 14685548 22461427; 1 32949746 17173775 8043172 16813674 15862005 34258868 18988350 14204673 14451294 19360333 37975185 14785887 15728729 14909369; 2 17850012; 
24.28999999999994 0 5.495999999999968 1 17.67 2 1.1240000000000008 0 14813714 23219721 22461427; 1 32949746 17173775 8043172 16813674 15862005 34258868 18988350 14204673 14451294 19360333 37975185 14785887 15728729 14909369 20719354; 2 17850012; 
