1.0120000000000007 0 1.0040000000000007 1 0.008 2 0.0 0 33568241; 1 2 
2.0240000000000014 0 1.0120000000000007 1 1.0120000000000007 2 0.0 0 33568241; 1 22071998; 2 
3.059999999999966 0 1.0220000000000007 1 2.0380000000000016 2 0.0 0 33568241; 1 22071998 34387155; 2 
4.103999999999997 0 1.0160000000000007 1 3.0879999999999668 2 0.0 0 33568241; 1 22071998 34387155 18610863; 2 
5.113999999999938 0 2.0200000000000014 1 3.093999999999966 2 0.0 0 33568241 21908551; 1 22071998 34387155 18610863; 2 
6.141999999999936 0 2.0540000000000016 1 4.087999999999999 2 0.0 0 21908551 33568241; 1 22071998 18610863 34387155 30994019; 2 
7.218000000000019 0 2.0420000000000016 1 5.175999999999937 2 0.0 0 21908551 33568241; 1 22071998 18610863 34387155 30994019 14590651; 2 
8.405999999999985 0 2.0600000000000014 1 6.345999999999947 2 0.0 0 33568241 21908551; 1 30994019 18610863 34387155 22071998 14590651 19343267; 2 
9.395999999999965 0 2.048000000000001 1 7.346000000000018 2 0.002 0 33568241 21908551; 1 30994019 18610863 34387155 22071998 14590651 19343267 33347300; 2 
10.48199999999993 0 2.0520000000000014 1 8.429999999999982 2 0.0 0 33568241 21908551; 1 30994019 18610863 34387155 22071998 14590651 19343267 33347300 5309742; 2 
11.462000000000003 0 2.0520000000000014 1 9.407999999999964 2 0.002 0 33568241 21908551; 1 30994019 18610863 34387155 22071998 14590651 19343267 33347300 5309742 3317821; 2 
12.8079999999999 0 2.124000000000001 1 10.677999999999928 2 0.006 0 33568241 21908551; 1 30994019 18610863 34387155 22071998 14590651 19343267 5309742 33347300 3317821 7536882; 2 
13.779999999999957 0 2.116000000000001 1 11.643999999999993 2 0.020000000000000004 0 33568241 21908551; 1 30994019 18610863 34387155 22071998 14590651 19343267 5309742 33347300 3317821 7536882 40581809; 2 
14.677999999999983 0 2.104000000000001 1 11.55999999999999 2 1.0140000000000007 0 33568241 21908551; 1 18610863 7536882 34387155 22071998 19343267 30994019 33347300 3317821 14590651 5309742 40581809; 2 17924186; 
15.723999999999947 0 2.0900000000000007 1 11.609999999999983 2 2.0240000000000014 0 33568241 21908551; 1 18610863 7536882 34387155 22071998 19343267 30994019 33347300 3317821 14590651 5309742 40581809; 2 17924186 25434484; 
16.860000000000024 0 2.1200000000000006 1 12.717999999999885 2 2.0220000000000016 0 33568241 21908551; 1 18610863 7536882 34387155 22071998 19343267 30994019 33347300 3317821 14590651 5309742 40581809 14258044; 2 17924186 25434484; 
17.768000000000015 0 2.090000000000001 1 13.661999999999956 2 2.0160000000000013 0 33568241 21908551; 1 18610863 7536882 34387155 22071998 19343267 30994019 33347300 3317821 14590651 5309742 40581809 14258044 15108462; 2 17924186 25434484; 
18.994000000000003 0 3.1599999999999677 1 13.80399999999997 2 2.0300000000000016 0 33568241 21908551 5745462; 1 18610863 7536882 34387155 22071998 19343267 30994019 33347300 3317821 14590651 5309742 40581809 14258044 15108462; 2 17924186 25434484; 
19.907999999999973 0 3.1739999999999653 1 14.719999999999985 2 2.0140000000000016 0 33568241 21908551 5745462; 1 33347300 34387155 22071998 19343267 30994019 7536882 15108462 14590651 5309742 14258044 18610863 40581809 3317821 14852204; 2 25434484 17924186; 
21.009999999999952 0 3.1739999999999635 1 15.825999999999958 2 2.010000000000001 0 33568241 21908551 5745462; 1 33347300 34387155 22071998 19343267 30994019 7536882 15108462 14590651 5309742 14258044 18610863 40581809 3317821 14852204 15880652; 2 25434484 17924186; 
22.02200000000007 0 4.203999999999995 1 15.781999999999938 2 2.0360000000000014 0 33568241 21908551 5745462 3842491; 1 33347300 34387155 22071998 19343267 30994019 7536882 15108462 14590651 5309742 14258044 18610863 40581809 3317821 14852204 15880652; 2 25434484 17924186; 
23.055999999999944 0 4.235999999999994 1 16.79600000000004 2 2.0240000000000014 0 33568241 21908551 5745462 3842491; 1 33347300 34387155 22071998 19343267 30994019 7536882 15108462 14590651 5309742 14258044 18610863 40581809 3317821 14852204 15880652 20893623; 2 25434484 17924186; 
24.15199999999985 0 4.211999999999993 1 17.906000000000017 2 2.0340000000000016 0 33568241 21908551 5745462 3842491; 1 33347300 34387155 22071998 19343267 30994019 7536882 15108462 14590651 5309742 14258044 18610863 40581809 3317821 14852204 15880652 20893623 32618486; 2 25434484 17924186; 
25.113999999999947 0 5.221999999999941 1 17.870000000000022 2 2.0220000000000016 0 33568241 21908551 5745462 3842491 23219721; 1 33347300 34387155 22071998 19343267 30994019 7536882 15108462 14590651 5309742 14258044 18610863 40581809 3317821 14852204 15880652 20893623 32618486; 2 25434484 17924186; 
26.17399999999996 0 5.231999999999941 1 18.91 2 2.0320000000000014 0 33568241 21908551 5745462 3842491 23219721; 1 33347300 34387155 22071998 19343267 30994019 7536882 15108462 14590651 5309742 14258044 18610863 40581809 3317821 14852204 15880652 20893623 32618486 14209248; 2 25434484 17924186; 
27.14399999999986 0 6.24799999999994 1 18.87 2 2.0260000000000016 0 33568241 21908551 5745462 3842491 23219721 14527485; 1 33347300 34387155 22071998 19343267 30994019 7536882 15108462 14590651 5309742 14258044 18610863 40581809 3317821 14852204 15880652 20893623 32618486 14209248; 2 25434484 17924186; 
28.163999999999923 0 6.295999999999947 1 19.83199999999996 2 2.0360000000000014 0 33568241 21908551 5745462 3842491 23219721 14527485; 1 33347300 34387155 22071998 19343267 30994019 7536882 15108462 14590651 5309742 14258044 18610863 40581809 3317821 14852204 15880652 20893623 32618486 14209248 15422070; 2 25434484 17924186; 
29.34399999999998 0 6.255999999999937 1 21.053999999999927 2 2.0340000000000016 0 33568241 21908551 5745462 3842491 23219721 14527485; 1 33347300 34387155 22071998 19343267 30994019 7536882 15108462 14590651 5309742 14258044 18610863 40581809 3317821 14852204 15880652 20893623 32618486 14209248 15422070 23769455; 2 25434484 17924186; 
30.23799999999994 0 6.233999999999933 1 21.97200000000006 2 2.0320000000000014 0 33568241 21908551 5745462 3842491 23219721 14527485; 1 33347300 34387155 22071998 19343267 30994019 7536882 15108462 14590651 5309742 14258044 18610863 40581809 3317821 14852204 15880652 20893623 32618486 14209248 23769455 15422070 15619695; 2 25434484 17924186; 
31.343999999999987 0 6.3139999999999405 1 23.003999999999966 2 2.0260000000000016 0 33568241 21908551 5745462 3842491 23219721 14527485; 1 33347300 34387155 22071998 19343267 30994019 7536882 15108462 14590651 5309742 14258044 18610863 40581809 3317821 14852204 15880652 20893623 32618486 14209248 23769455 15422070 15619695 23664562; 2 25434484 17924186; 
32.35400000000008 0 6.265999999999945 1 23.043999999999958 2 3.0439999999999654 0 33568241 21908551 5745462 14527485 23219721 3842491; 1 33347300 34387155 22071998 19343267 30994019 7536882 15108462 14590651 5309742 14258044 18610863 40581809 3317821 14852204 23664562 14209248 23769455 32618486 15619695 20893623 15422070 15880652; 2 25434484 17924186 34747138; 
33.36200000000001 0 6.301999999999946 1 24.011999999999844 2 3.047999999999966 0 33568241 21908551 5745462 14527485 23219721 3842491; 1 33347300 34387155 22071998 19343267 30994019 7536882 15108462 14590651 5309742 14258044 18610863 40581809 3317821 14852204 23664562 14209248 23769455 32618486 15619695 20893623 15422070 15880652 14992758; 2 25434484 17924186 34747138; 
34.37400000000006 0 6.2719999999999425 1 25.04999999999991 2 3.051999999999967 0 33568241 21908551 5745462 14527485 23219721 3842491; 1 33347300 34387155 22071998 19343267 30994019 7536882 15108462 14590651 5309742 14258044 18610863 40581809 3317821 14852204 23664562 14209248 23769455 32618486 15619695 20893623 15422070 15880652 14992758 10768042; 2 25434484 17924186 34747138; 
35.68800000000007 0 6.36399999999994 1 26.27399999999998 2 3.049999999999965 0 33568241 21908551 5745462 14527485 23219721 3842491; 1 33347300 34387155 22071998 19343267 30994019 7536882 15108462 14590651 5309742 14258044 18610863 40581809 3317821 14852204 23664562 14209248 23769455 32618486 15619695 20893623 15422070 15880652 14992758 10768042 15269276; 2 25434484 17924186 34747138; 
36.478000000000065 0 6.3399999999999395 1 27.085999999999867 2 3.0519999999999663 0 33568241 21908551 5745462 14527485 23219721 3842491; 1 33347300 34387155 22071998 19343267 30994019 7536882 15108462 14590651 5309742 14258044 18610863 40581809 3317821 14852204 23664562 14209248 23769455 32618486 15619695 20893623 15422070 15880652 14992758 10768042 15269276 17204571; 2 25434484 17924186 34747138; 
37.49200000000003 0 6.339999999999945 1 28.107999999999915 2 3.043999999999966 0 33568241 21908551 5745462 14527485 23219721 3842491; 1 33347300 34387155 22071998 19343267 30994019 7536882 15108462 14590651 5309742 14258044 18610863 40581809 3317821 14852204 23664562 14209248 23769455 32618486 15619695 20893623 15422070 15880652 14992758 10768042 15269276 17204571 42399726; 2 25434484 17924186 34747138; 
38.692000000000064 0 6.3659999999999375 1 28.26599999999991 2 4.0600000000000005 0 33568241 21908551 5745462 14527485 23219721 3842491; 1 33347300 34387155 22071998 19343267 30994019 7536882 15108462 14590651 5309742 14258044 18610863 40581809 3317821 14852204 23664562 14209248 23769455 32618486 15619695 20893623 15422070 15880652 10768042 15269276 42399726 14992758 17204571; 2 25434484 17924186 34747138 19050831; 
39.54000000000002 0 6.315999999999944 1 29.18199999999999 2 4.042000000000001 0 33568241 21908551 5745462 14527485 23219721 3842491; 1 33347300 34387155 22071998 19343267 30994019 7536882 15108462 14590651 5309742 14258044 18610863 40581809 3317821 14852204 23664562 14209248 23769455 32618486 15619695 20893623 15422070 15880652 10768042 15269276 42399726 14992758 17204571 25929128; 2 25434484 17924186 34747138 19050831; 
40.685999999999964 0 6.345999999999944 1 30.275999999999943 2 4.064 0 33568241 21908551 5745462 14527485 23219721 3842491; 1 33347300 34387155 22071998 19343267 30994019 7536882 15108462 14590651 5309742 14258044 18610863 40581809 3317821 14852204 23664562 14209248 23769455 32618486 15619695 20893623 15422070 15880652 10768042 15269276 42399726 14992758 17204571 25929128 14812022; 2 25434484 17924186 34747138 19050831; 
41.82200000000002 0 6.42199999999994 1 31.32 2 4.080000000000001 0 33568241 21908551 5745462 14527485 23219721 3842491; 1 33347300 34387155 22071998 19343267 30994019 7536882 15108462 14590651 5309742 14258044 18610863 40581809 3317821 14852204 23664562 14209248 23769455 32618486 15619695 20893623 15422070 15880652 10768042 15269276 42399726 14992758 17204571 25929128 14812022 25681991; 2 25434484 17924186 34747138 19050831; 
