1.0060000000000007 0 0.0 1 1.0060000000000007 2 0.0 0 1 5676272; 2 
2.1920000000000006 0 0.022 1 2.170000000000001 2 0.0 0 1 5676272 22951944; 2 
3.2119999999999664 0 0.05200000000000003 1 3.157999999999966 2 0.002 0 1 5676272 22951944 22498142; 2 
4.217999999999995 0 0.03800000000000002 1 4.177999999999996 2 0.002 0 1 5676272 22951944 22498142 14465317; 2 
5.293999999999937 0 0.034000000000000016 1 5.253999999999938 2 0.006 0 1 5676272 14465317 22498142 22951944 17956232; 2 
6.24999999999994 0 0.030000000000000013 1 6.2199999999999385 2 0.0 0 1 5676272 14465317 22498142 22951944 17956232 15760559; 2 
7.268000000000021 0 0.050000000000000024 1 7.212000000000021 2 0.006 0 1 5676272 14465317 22498142 22951944 17956232 15760559 22750634; 2 
8.257999999999994 0 0.02800000000000001 1 8.229999999999995 2 0.0 0 1 5676272 14465317 22498142 22951944 17956232 22750634 15760559 19779229; 2 
9.347999999999963 0 0.05800000000000004 1 8.275999999999987 2 1.0140000000000007 0 1 5676272 14465317 22498142 22951944 17956232 22750634 15760559 19779229; 2 29620256; 
10.467999999999915 0 0.10200000000000008 1 9.349999999999973 2 1.0160000000000007 0 1 5676272 14465317 22498142 22951944 17956232 22750634 15760559 19779229 23538058; 2 29620256; 
11.456000000000001 0 1.1220000000000008 1 9.321999999999967 2 1.0120000000000007 0 7768452; 1 5676272 14465317 22498142 22951944 17956232 22750634 15760559 19779229 23538058; 2 29620256; 
12.515999999999877 0 1.1280000000000008 1 10.371999999999922 2 1.0160000000000007 0 7768452; 1 5676272 14465317 22498142 22951944 17956232 22750634 15760559 19779229 23538058 82383; 2 29620256; 
13.791999999999968 0 2.0920000000000014 1 10.64999999999994 2 1.0500000000000007 0 7768452 28447324; 1 5676272 14465317 22498142 22951944 17956232 19779229 23538058 82383 22750634 15760559; 2 29620256; 
14.825999999999986 0 3.1379999999999657 1 10.619999999999928 2 1.0680000000000007 0 7768452 28447324 19739122; 1 5676272 14465317 22498142 22951944 17956232 19779229 23538058 82383 22750634 15760559; 2 29620256; 
15.91999999999996 0 3.2099999999999658 1 11.661999999999967 2 1.0480000000000007 0 7768452 28447324 19739122; 1 5676272 14465317 22498142 22951944 17956232 19779229 23538058 82383 22750634 15760559 13897532; 2 29620256; 
17.010000000000034 0 3.181999999999964 1 12.74399999999988 2 1.0840000000000007 0 7768452 28447324 19739122; 1 5676272 14465317 22498142 22951944 17956232 19779229 23538058 82383 22750634 15760559 13897532 792795; 2 29620256; 
17.87600000000002 0 3.1439999999999655 1 13.657999999999953 2 1.0740000000000007 0 7768452 28447324 19739122; 1 5676272 14465317 22498142 22951944 17956232 19779229 23538058 82383 22750634 15760559 13897532 792795 20112492; 2 29620256; 
18.963999999999984 0 4.191999999999994 1 13.727999999999954 2 1.0440000000000007 0 7768452 28447324 19739122 14965263; 1 5676272 14465317 22498142 22951944 17956232 19779229 23538058 82383 22750634 15760559 13897532 792795 20112492; 2 29620256; 
20.081999999999965 0 4.227999999999994 1 14.790000000000015 2 1.0640000000000007 0 7768452 28447324 19739122 14965263; 1 5676272 14465317 22498142 22951944 17956232 19779229 23538058 82383 22750634 15760559 13897532 20112492 792795 15840187; 2 29620256; 
21.025999999999943 0 4.213999999999995 1 15.74399999999994 2 1.0680000000000007 0 7768452 28447324 19739122 14965263; 1 5676272 14465317 22498142 22951944 17956232 19779229 23538058 82383 22750634 15760559 13897532 20112492 792795 15840187 10750192; 2 29620256; 
