1.0340000000000007 0 0.006 1 1.0280000000000007 2 0.0 0 1 792795; 2 
2.0440000000000014 0 0.024000000000000007 1 1.0200000000000007 2 1.0000000000000007 0 1 792795; 2 22295588; 
3.0859999999999657 0 1.0380000000000007 1 1.0480000000000007 2 1.0000000000000007 0 17560937; 1 792795; 2 22295588; 
4.124 0 1.0600000000000007 1 2.0640000000000014 2 1.0000000000000007 0 17560937; 1 792795 1618581; 2 22295588; 
5.13799999999994 0 1.0460000000000007 1 3.091999999999966 2 1.0000000000000007 0 17560937; 1 792795 1618581 24127258; 2 22295588; 
6.245999999999941 0 1.0660000000000007 1 4.179999999999996 2 1.0000000000000007 0 17560937; 1 792795 1618581 24127258 14206313; 2 22295588; 
7.206000000000019 0 1.0500000000000007 1 5.1559999999999375 2 1.0000000000000007 0 17560937; 1 792795 1618581 24127258 14206313 38631491; 2 22295588; 
8.279999999999994 0 1.1000000000000008 1 5.17999999999994 2 2.0000000000000013 0 17560937; 1 792795 1618581 24127258 14206313 38631491; 2 22295588 24987071; 
9.429999999999966 0 2.1440000000000015 1 5.28599999999994 2 2.0000000000000013 0 17560937 17431643; 1 792795 1618581 24127258 14206313 38631491; 2 22295588 24987071; 
10.407999999999914 0 2.0840000000000014 1 6.321999999999947 2 2.0020000000000016 0 17560937 17431643; 1 792795 1618581 24127258 14206313 38631491 32199618; 2 22295588 24987071; 
11.496 0 3.1499999999999657 1 6.341999999999948 2 2.0040000000000013 0 17560937 17431643 2207861; 1 792795 1618581 24127258 14206313 38631491 32199618; 2 22295588 24987071; 
12.483999999999876 0 3.1739999999999653 1 7.306000000000022 2 2.0040000000000013 0 17560937 17431643 2207861; 1 792795 1618581 24127258 14206313 38631491 32199618 20274736; 2 22295588 24987071; 
13.519999999999946 0 3.1759999999999655 1 8.329999999999984 2 2.0140000000000016 0 17431643 17560937 2207861; 1 1618581 792795 38631491 24127258 14206313 20274736 32199618 28595634; 2 22295588 24987071; 
14.657999999999985 0 3.2019999999999667 1 9.429999999999968 2 2.0260000000000016 0 17431643 17560937 2207861; 1 1618581 792795 38631491 24127258 14206313 20274736 32199618 28595634 18907487; 2 22295588 24987071; 
15.595999999999933 0 3.1879999999999664 1 10.359999999999909 2 2.0480000000000014 0 17431643 17560937 2207861; 1 1618581 792795 38631491 24127258 14206313 20274736 32199618 28595634 18907487 24777860; 2 22295588 24987071; 
16.558000000000032 0 3.1539999999999675 1 10.367999999999919 2 3.0359999999999663 0 17431643 17560937 2207861; 1 1618581 792795 38631491 24127258 14206313 20274736 32199618 28595634 24777860 18907487; 2 22295588 24987071 16561591; 
17.652000000000037 0 3.1659999999999675 1 11.424000000000012 2 3.0619999999999665 0 17431643 17560937 2207861; 1 1618581 792795 38631491 24127258 14206313 20274736 32199618 28595634 24777860 18907487 19098264; 2 22295588 24987071 16561591; 
18.693999999999992 0 4.177999999999996 1 11.455999999999996 2 3.059999999999966 0 17431643 17560937 2207861 14254414; 1 1618581 792795 38631491 24127258 14206313 20274736 32199618 28595634 24777860 18907487 19098264; 2 22295588 24987071 16561591; 
19.72 0 5.221999999999941 1 11.450000000000015 2 3.047999999999966 0 17431643 17560937 2207861 14254414 12623252; 1 1618581 792795 38631491 24127258 14206313 20274736 32199618 28595634 24777860 18907487 19098264; 2 22295588 24987071 16561591; 
20.769999999999918 0 5.23399999999994 1 12.469999999999882 2 3.0659999999999665 0 2207861 17431643 12623252 17560937 14254414; 1 792795 19098264 24777860 14206313 28595634 32199618 1618581 20274736 24127258 38631491 18907487 16428853; 2 22295588 16561591 24987071; 
21.662000000000084 0 5.231999999999938 1 13.395999999999944 2 3.033999999999967 0 2207861 17431643 12623252 17560937 14254414; 1 792795 19098264 24777860 14206313 28595634 32199618 1618581 20274736 24127258 38631491 18907487 16428853 22811603; 2 22295588 16561591 24987071; 
22.677999999999994 0 5.1939999999999396 1 14.448000000000006 2 3.035999999999966 0 2207861 17431643 12623252 17560937 14254414; 1 792795 19098264 24777860 14206313 28595634 32199618 1618581 20274736 24127258 38631491 18907487 16428853 22811603 20024547; 2 22295588 16561591 24987071; 
23.765999999999842 0 5.2219999999999445 1 15.495999999999931 2 3.047999999999966 0 2207861 17431643 12623252 17560937 14254414; 1 792795 19098264 24777860 14206313 28595634 32199618 1618581 20274736 24127258 38631491 18907487 16428853 22811603 20024547 16505673; 2 22295588 16561591 24987071; 
24.72399999999989 0 5.17999999999994 1 16.494000000000035 2 3.049999999999966 0 2207861 17431643 12623252 17560937 14254414; 1 792795 19098264 24777860 14206313 28595634 32199618 1618581 20274736 24127258 38631491 18907487 16428853 22811603 20024547 16505673 16339549; 2 22295588 16561591 24987071; 
25.756000000000032 0 5.207999999999938 1 17.51200000000003 2 3.035999999999966 0 2207861 17431643 12623252 17560937 14254414; 1 792795 19098264 24777860 14206313 28595634 32199618 1618581 20274736 24127258 38631491 18907487 16428853 22811603 20024547 16505673 16339549 19268192; 2 22295588 16561591 24987071; 
