2.203999999999996 0 0.33000000000000024 1 0.8280000000000006 2 1.0460000000000007 0 1 2 17850012; 
3.2619999999999822 0 1.352000000000001 1 0.8560000000000006 2 1.0540000000000007 0 9922122; 1 2 17850012; 
4.487999999999977 0 2.367999999999997 1 1.0720000000000007 2 1.0480000000000007 0 9922122 33437822; 1 2 17850012; 
5.621999999999966 0 3.4079999999999675 1 1.1400000000000008 2 1.0740000000000007 0 9922122 33437822 14139780; 1 2 17850012; 
10.661999999999974 0 5.461999999999973 1 4.105999999999976 2 1.0940000000000007 0 33437822 9922122 22461427; 1 2384071; 2 17850012; 
11.937999999999976 0 5.637999999999973 1 5.191999999999973 2 1.1080000000000008 0 33437822 9922122 22461427; 1 2384071 22523228; 2 17850012; 
12.607999999999956 0 6.443999999999961 1 5.035999999999967 2 1.1280000000000008 0 33437822 9922122 22461427 19748714; 1 2384071 22523228; 2 17850012; 
13.465999999999944 0 7.313999999999967 1 5.005999999999971 2 1.1460000000000008 0 9922122 33437822 19224821 22461427 7828252; 1 2384071 22523228; 2 17850012; 
15.363999999999958 0 7.597999999999971 1 6.591999999999962 2 1.1740000000000008 0 9922122 33437822 19224821 22461427 7828252; 1 2384071 22523228 8820652; 2 17850012; 
16.213999999999963 0 8.46199999999998 1 6.573999999999962 2 1.1780000000000008 0 9922122 33437822 18506582 22461427 7828252 18162730; 1 2384071 22523228 8820652; 2 17850012; 
17.614000000000004 0 8.645999999999974 1 7.793999999999966 2 1.1740000000000008 0 9922122 33437822 18506582 22461427 7828252 18162730; 1 2384071 22523228 8820652 16845153; 2 17850012; 
18.835999999999974 0 8.60599999999998 1 9.029999999999967 2 1.2000000000000008 0 7828252 18506582 33437822 18162730 22461427 9922122; 1 22523228 8820652 16845153 2384071 16412744; 2 17850012; 
19.919999999999995 0 8.791999999999968 1 9.897999999999966 2 1.2300000000000009 0 7828252 18506582 33437822 18162730 22461427 9922122; 1 22523228 8820652 16845153 2384071 16412744 19360333; 2 17850012; 
20.811999999999983 0 9.59799999999998 1 9.973999999999968 2 1.2400000000000009 0 7828252 18506582 33437822 18162730 22461427 14139780 9922122; 1 22523228 8820652 16845153 16412744 19360333 2384071; 2 17850012; 
21.831999999999972 0 9.745999999999981 1 10.885999999999957 2 1.2000000000000008 0 7828252 18506582 33437822 18162730 22461427 14139780 9922122; 1 22523228 8820652 16845153 16412744 19360333 2384071 12389772; 2 17850012; 
23.301999999999957 0 8.775999999999977 1 13.305999999999964 2 1.2200000000000009 0 7828252 18506582 18162730 22461427 14139780 9922122; 1 22523228 22463905 8820652 16845153 16412744 2384071 12389772 19360333 14451294; 2 17850012; 
24.219999999999956 0 9.929999999999971 1 13.099999999999962 2 1.1900000000000008 0 7828252 18506582 33437822 18162730 22461427 14139780 9922122; 1 22523228 8820652 16845153 16412744 2384071 12389772 19360333 14451294 25468909; 2 17850012; 
25.493999999999975 0 9.915999999999968 1 14.339999999999959 2 1.2380000000000009 0 7828252 18506582 33437822 18162730 22461427 14139780 9922122; 1 22523228 8820652 16845153 16412744 2384071 12389772 19360333 14451294 25468909 17323772; 2 17850012; 
26.81399999999996 0 10.005999999999968 1 15.439999999999973 2 1.368000000000001 0 7828252 18506582 33437822 18162730 22461427 14139780 9922122; 1 22523228 8820652 16845153 16412744 2384071 12389772 19360333 14451294 25468909 17323772 17201112; 2 17850012; 
28.08199999999991 0 9.981999999999976 1 16.715999999999976 2 1.384000000000001 0 7828252 18506582 33437822 18162730 22461427 14139780 9922122; 1 22523228 8820652 16845153 16412744 2384071 12389772 19360333 14451294 25468909 17323772 17201112 16102437; 2 17850012; 
28.88199999999995 0 9.99199999999996 1 17.497999999999987 2 1.392000000000001 0 18506582 20548784 22461427 9922122 7828252 18162730 33437822; 1 19360333 2384071 17201112 8820652 25468909 14451294 12389772 16102437 16845153 17323772 22523228 16412744 14328764; 2 17850012; 
30.399999999999977 0 11.075999999999956 1 17.955999999999985 2 1.368000000000001 0 18506582 14139780 22461427 18660521 9922122 7828252 18162730 33437822; 1 19360333 2384071 17201112 8820652 14451294 12389772 16102437 16845153 17323772 22523228 16412744 14328764 22463905; 2 17850012; 
32.21800000000002 0 11.73599999999997 1 19.135999999999985 2 1.346000000000001 0 18506582 29863027 22461427 9922122 7828252 18162730 33437822 7376382; 1 19360333 2384071 17201112 8820652 25468909 14451294 12389772 16102437 16845153 17323772 22523228 16412744 14328764 27120518; 2 17850012; 
32.58200000000002 0 13.257999999999948 1 17.922000000000004 2 1.402000000000001 0 18506582 29863027 19045839 22461427 15757811 9922122 7828252 18162730 33437822 27362221; 1 19360333 17201112 8820652 14451294 12389772 16102437 16845153 17323772 22523228 16412744 14328764 27120518 2384071; 2 17850012; 
33.98200000000003 0 13.37199999999995 1 19.156000000000002 2 1.454000000000001 0 18506582 29863027 19045839 22461427 15757811 9922122 7828252 18162730 33437822 27362221; 1 19360333 17201112 8820652 14451294 12389772 16102437 16845153 17323772 22523228 16412744 14328764 27120518 2384071 17250640; 2 17850012; 
34.858000000000075 0 13.461999999999964 1 20.015999999999977 2 1.380000000000001 0 20322928 22461427 18660521 9922122 7828252 29863027 18162730 33437822 18506582 19045839; 1 14328764 17250640 27120518 17201112 8820652 14451294 16102437 16845153 17323772 22523228 16412744 12389772 19360333 2384071 22463905; 2 17850012; 
35.85600000000001 0 13.357999999999944 1 21.125999999999973 2 1.372000000000001 0 20322928 22461427 18660521 9922122 7828252 29863027 18162730 33437822 18506582 19045839; 1 14328764 17250640 27120518 17201112 8820652 14451294 16102437 16845153 17323772 22523228 16412744 12389772 19360333 2384071 22463905 24691785; 2 17850012; 
36.94200000000006 0 13.429999999999957 1 22.12199999999997 2 1.390000000000001 0 20322928 22461427 18660521 9922122 7828252 29863027 18162730 33437822 18506582 19045839; 1 14328764 17250640 27120518 17201112 8820652 14451294 16102437 16845153 17323772 22523228 16412744 12389772 19360333 2384071 22463905 24691785 16494857; 2 17850012; 
38.28200000000001 0 13.581999999999944 1 23.28199999999997 2 1.418000000000001 0 20322928 22461427 18660521 9922122 7828252 29863027 18162730 33437822 18506582 19045839; 1 14328764 17250640 27120518 17201112 8820652 14451294 16102437 16845153 17323772 22523228 16412744 12389772 19360333 2384071 22463905 16494857 24691785 15105269; 2 17850012; 
39.06600000000003 0 13.489999999999938 1 24.19599999999994 2 1.380000000000001 0 20322928 22461427 18660521 9922122 7828252 29863027 18162730 33437822 18506582 19045839; 1 14328764 17250640 27120518 17201112 8820652 14451294 16102437 16845153 17323772 22523228 16412744 12389772 19360333 2384071 22463905 16494857 24561360 15105269 19764560; 2 17850012; 
40.59000000000004 0 14.60999999999996 1 24.577999999999943 2 1.402000000000001 0 20322928 22461427 18660521 9922122 7828252 29863027 18162730 33437822 18506582 19045839 42810808; 1 14328764 17250640 27120518 17201112 8820652 14451294 16102437 16845153 17323772 22523228 16412744 12389772 19360333 2384071 15076390 19764560 15105269 16494857 24691785; 2 17850012; 
41.496000000000016 0 14.475999999999937 1 25.62399999999989 2 1.396000000000001 0 20322928 22461427 18660521 9922122 7828252 29863027 18162730 33437822 18506582 19045839 42810808; 1 14328764 17250640 27120518 17201112 8820652 14451294 16102437 16845153 17323772 22523228 16412744 12389772 19360333 2384071 15076390 19764560 15105269 16494857 24561360 29762189; 2 17850012; 
42.92 0 14.747999999999964 1 25.77599999999993 2 2.395999999999997 0 20322928 22461427 18660521 9922122 7828252 29863027 18162730 33437822 18506582 19045839 42810808; 1 14328764 17250640 27120518 17201112 8820652 14451294 16102437 16845153 17323772 22523228 16412744 12389772 19360333 2384071 15076390 19764560 15105269 16494857 24561360 29762189; 2 17850012 24863940; 
