2.1539999999999973 0 0.3040000000000002 1 0.8120000000000006 2 1.0380000000000007 0 1 2 17850012; 
3.347999999999986 0 1.404000000000001 1 0.9000000000000007 2 1.0440000000000007 0 39299693; 1 2 17850012; 
6.519999999999963 0 4.007999999999979 1 1.426000000000001 2 1.0860000000000007 0 33437822 22461427; 1 2 17850012; 
7.747999999999965 0 4.147999999999973 1 2.539999999999989 2 1.0600000000000007 0 33437822 22461427; 1 22523228; 2 17850012; 
10.595999999999966 0 4.417999999999976 1 5.0879999999999725 2 1.0900000000000007 0 22461427 18162730; 1 22523228 2384071; 2 17850012; 
8.257999999999976 0 3.4919999999999654 1 3.715999999999979 2 1.0500000000000007 0 33437822 18162730 39299693; 1 16004411 22523228; 2 17850012; 
9.47799999999997 0 4.545999999999985 1 3.8299999999999774 2 1.1020000000000008 0 14813714 33437822 18162730 39299693; 1 22523228 8820652; 2 17850012; 
12.38799999999995 0 6.207999999999959 1 5.077999999999972 2 1.1020000000000008 0 14813714 33437822 18162730 22461427; 1 22523228 8820652 24691785; 2 17850012; 
13.41799999999996 0 6.245999999999962 1 6.049999999999963 2 1.1220000000000008 0 14813714 33437822 18162730 22461427; 1 22523228 24691785 8820652 12389772; 2 17850012; 
14.867999999999963 0 6.349999999999963 1 7.371999999999963 2 1.1460000000000008 0 14813714 33437822 18162730 22461427; 1 22523228 24691785 8820652 12389772 16412744; 2 17850012; 
15.70999999999998 0 6.21799999999996 1 8.361999999999973 2 1.1300000000000008 0 14813714 33437822 18162730 22461427; 1 22523228 24691785 8820652 12389772 19360333 16845153; 2 17850012; 
18.469999999999985 0 7.4999999999999645 1 9.801999999999977 2 1.1680000000000008 0 14813714 33437822 18162730 22461427 7828252; 1 22523228 2384071 8820652 12389772 19360333 16845153; 2 17850012; 
17.765999999999988 0 7.043999999999959 1 9.553999999999965 2 1.1680000000000008 0 14813714 33437822 18162730 14139780 18506582 7828252; 1 22523228 8820652 12389772 16845153 19360333 2384071; 2 17850012; 
18.63599999999999 0 7.1379999999999635 1 10.31999999999997 2 1.1780000000000008 0 14813714 33437822 18162730 14139780 18506582 7828252; 1 22523228 8820652 12389772 16845153 19360333 2384071 17323772; 2 17850012; 
19.941999999999986 0 7.077999999999964 1 11.611999999999965 2 1.252000000000001 0 14813714 33437822 18162730 14139780 18506582 7828252; 1 22523228 8820652 12389772 16845153 19360333 2384071 17323772 16412744; 2 17850012; 
21.325999999999997 0 7.301999999999973 1 12.783999999999958 2 1.2400000000000009 0 14813714 33437822 18162730 14139780 18506582 7828252; 1 22523228 8820652 12389772 16845153 19360333 2384071 16412744 17323772 14451294; 2 17850012; 
22.693999999999974 0 7.507999999999977 1 13.907999999999944 2 1.278000000000001 0 14813714 33437822 18162730 14139780 18506582 7828252; 1 22523228 8820652 12389772 16845153 19360333 2384071 16412744 17323772 14451294 25468909; 2 17850012; 
23.523999999999948 0 8.227999999999984 1 14.003999999999946 2 1.292000000000001 0 14813714 33437822 18162730 14139780 18506582 7828252 9922122; 1 22523228 8820652 12389772 16845153 19360333 16412744 17323772 14451294 25468909 2384071; 2 17850012; 
24.401999999999965 0 8.365999999999994 1 13.809999999999954 2 2.2259999999999995 0 14813714 33437822 18162730 14139780 18506582 7828252 9922122; 1 22523228 8820652 12389772 16845153 19360333 14451294 16412744 17323772 25468909 2384071; 2 17850012 24863940; 
26.13599999999994 0 8.49199999999998 1 16.32199999999999 2 1.322000000000001 0 14813714 33437822 18162730 14139780 18506582 7828252 9922122; 1 22523228 8820652 12389772 16845153 19360333 14451294 16412744 17323772 25468909 2384071 10125822 16102437; 2 17850012; 
