2.191999999999998 0 0.25200000000000017 1 0.9020000000000007 2 1.0380000000000007 0 1 2 17850012; 
3.285999999999983 0 1.308000000000001 1 0.9240000000000007 2 1.0540000000000007 0 9922122; 1 2 17850012; 
5.011999999999976 0 1.486000000000001 1 2.4399999999999906 2 1.0860000000000007 0 9922122; 1 8820652; 2 17850012; 
8.56999999999997 0 4.243999999999975 1 3.2219999999999773 2 1.1040000000000008 0 33437822 22461427; 1 8820652; 2 17850012; 
11.363999999999969 0 3.7399999999999762 1 6.491999999999971 2 1.1320000000000008 0 22461427; 1 2384071 8820652 22523228; 2 17850012; 
12.671999999999953 0 3.7519999999999745 1 7.689999999999966 2 1.2300000000000009 0 22461427; 1 2384071 8820652 22523228 16412744; 2 17850012; 
11.897999999999964 0 4.439999999999971 1 6.289999999999966 2 1.1680000000000008 0 22461427 33437822; 1 22523228 16412744 8820652 24691785; 2 17850012; 
12.58599999999995 0 5.22599999999997 1 6.203999999999964 2 1.1560000000000008 0 22461427 33437822 18162730; 1 22523228 16412744 8820652 24691785; 2 17850012; 
13.603999999999953 0 5.16799999999997 1 7.317999999999973 2 1.1180000000000008 0 22461427 33437822 18162730; 1 22523228 19360333 8820652 24691785 16845153; 2 17850012; 
14.657999999999964 0 5.2359999999999705 1 8.313999999999973 2 1.1080000000000008 0 22461427 33437822 18162730; 1 22523228 19360333 8820652 24691785 16845153 12389772; 2 17850012; 
17.579999999999973 0 6.643999999999965 1 9.767999999999965 2 1.1680000000000008 0 22461427 33437822 18162730 7828252; 1 22523228 19360333 8820652 2384071 16845153 12389772; 2 17850012; 
18.793999999999993 0 6.739999999999966 1 10.835999999999958 2 1.2180000000000009 0 7828252 33437822 22461427 18162730; 1 22523228 16845153 2384071 8820652 19360333 12389772 16412744; 2 17850012; 
17.93799999999998 0 6.1839999999999495 1 10.559999999999961 2 1.1940000000000008 0 7828252 33437822 21719730 18162730 18506582; 1 22523228 16845153 2384071 8820652 19360333 12389772 16412744; 2 17850012; 
19.01800000000001 0 7.22599999999996 1 10.587999999999965 2 1.2040000000000008 0 7828252 33437822 21719730 18162730 18506582 14139780; 1 22523228 16845153 2384071 8820652 19360333 12389772 16412744; 2 17850012; 
20.185999999999996 0 7.249999999999974 1 11.69999999999996 2 1.2360000000000009 0 7828252 33437822 21719730 18162730 18506582 14139780; 1 22523228 16845153 2384071 8820652 19360333 12389772 16412744 17323772; 2 17850012; 
21.39399999999999 0 7.3319999999999705 1 12.829999999999954 2 1.2320000000000009 0 7828252 33437822 21719730 18162730 18506582 14139780; 1 22523228 16845153 2384071 8820652 19360333 12389772 16412744 17323772 14451294; 2 17850012; 
22.57999999999999 0 7.393999999999974 1 13.91999999999995 2 1.266000000000001 0 7828252 33437822 21719730 18162730 39299693 18506582; 1 22523228 16845153 2384071 8820652 19360333 12389772 16412744 14451294 17323772 25468909; 2 17850012; 
23.70399999999995 0 7.407999999999978 1 15.045999999999957 2 1.2500000000000009 0 7828252 33437822 21719730 18162730 39299693 18506582; 1 22523228 16845153 2384071 8820652 19360333 12389772 16412744 14451294 17323772 25468909 14328764; 2 17850012; 
25.085999999999967 0 7.485999999999971 1 16.261999999999983 2 1.338000000000001 0 7828252 33437822 21719730 18162730 39299693 18506582; 1 22523228 16845153 2384071 8820652 19360333 12389772 16412744 14451294 17323772 25468909 14328764 17201112; 2 17850012; 
26.583999999999925 0 8.837999999999981 1 16.409999999999993 2 1.336000000000001 0 7828252 33437822 9922122 21719730 18162730 16090188 29863027; 1 22523228 16845153 8820652 19360333 12389772 16412744 17201112 14328764 14451294 17323772 25468909 2384071; 2 17850012; 
27.839999999999925 0 8.989999999999972 1 17.53999999999998 2 1.310000000000001 0 7828252 33437822 9922122 21719730 18162730 16090188 29863027; 1 22523228 16845153 8820652 19360333 12389772 16412744 17201112 14328764 14451294 17323772 25468909 2384071 16102437; 2 17850012; 
28.73599999999993 0 7.763999999999963 1 19.605999999999977 2 1.366000000000001 0 7828252 9922122 21719730 18162730 16090188 29863027; 1 22523228 16845153 22463905 8820652 19360333 12389772 16412744 17201112 14328764 14451294 17323772 25468909 2384071 16102437 10125822; 2 17850012; 
