3.3039999999999807 0 2.821999999999984 1 0.46000000000000035 2 0.022000000000000006 0 22461427; 1 2 
6.3259999999999605 0 3.2379999999999813 1 2.9759999999999804 2 0.11200000000000009 0 22461427; 1 2384071; 2 
8.579999999999966 0 3.5459999999999807 1 3.9159999999999795 2 1.1180000000000008 0 22461427; 1 2384071; 2 17850012; 
10.183999999999967 0 3.645999999999979 1 5.3799999999999715 2 1.1580000000000008 0 22461427; 1 2384071 15076390; 2 17850012; 
11.865999999999959 0 3.9219999999999744 1 6.819999999999972 2 1.1240000000000008 0 22461427; 1 2384071 15076390 17173775; 2 17850012; 
13.361999999999963 0 3.9739999999999793 1 8.26599999999996 2 1.1220000000000008 0 22461427; 1 2384071 15076390 17173775 16447060; 2 17850012; 
15.131999999999959 0 5.331999999999967 1 8.617999999999967 2 1.1820000000000008 0 22461427 7376382; 1 2384071 15076390 17173775 16447060; 2 17850012; 
16.90599999999997 0 5.389999999999973 1 10.33399999999997 2 1.1820000000000008 0 22461427 7376382; 1 2384071 15076390 17173775 16447060 16004411; 2 17850012; 
18.65799999999998 0 5.539999999999972 1 11.90399999999997 2 1.2140000000000009 0 22461427 7376382; 1 2384071 15076390 17173775 16447060 16004411 8820652; 2 17850012; 
20.261999999999976 0 6.527999999999965 1 12.463999999999974 2 1.270000000000001 0 22461427 7376382 19624059; 1 2384071 15076390 17173775 16447060 16004411 8820652; 2 17850012; 
21.195999999999962 0 6.68599999999996 1 13.243999999999957 2 1.266000000000001 0 22461427 7376382 19624059; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917; 2 17850012; 
22.557999999999982 0 7.937999999999966 1 13.331999999999956 2 1.288000000000001 0 22461427 7376382 19624059 27512951; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917; 2 17850012; 
24.105999999999973 0 7.967999999999966 1 14.86999999999995 2 1.268000000000001 0 22461427 7376382 19624059 27512951; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893; 2 17850012; 
25.41999999999994 0 8.063999999999968 1 16.039999999999967 2 1.316000000000001 0 22461427 7376382 19624059 27512951; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622; 2 17850012; 
26.66999999999994 0 7.989999999999969 1 17.333999999999996 2 1.346000000000001 0 22461427 7376382 19624059 27512951; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431; 2 17850012; 
27.94199999999995 0 9.171999999999974 1 17.44199999999998 2 1.328000000000001 0 22461427 7376382 19624059 27512951 14368074; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431; 2 17850012; 
29.18199999999994 0 10.363999999999969 1 17.54199999999997 2 1.276000000000001 0 22461427 7376382 19624059 27512951 14368074 9018932; 1 2384071 15076390 17173775 16447060 16004411 8820652 801917 17486893 24906622 1315431; 2 17850012; 
